[RUN] AUH_HepG2_20260706-193105
[DIR] logs=results/logs model=results/model metrics=results/metrics
[CFG] results/logs/AUH_HepG2_20260706-193105_config.json
AUH_HepG2 	 Train Epoch: 61     avg.loss: 0.0254 Acc: 0.99%, AUC: 0.9999, PRC: 0.9998, MCC: 0.9858, lr: 0.000655
AUH_HepG2 	 Test  Epoch: 61     avg.loss: 2.3573 Acc: 0.83%, AUC: 0.8894 (0.8914), PRC: 0.8213, MCC: 0.6035, 54
AUH_HepG2 	 Train Epoch: 62     avg.loss: 0.0297 Acc: 0.99%, AUC: 0.9999, PRC: 0.9998, MCC: 0.9817, lr: 0.000655
AUH_HepG2 	 Test  Epoch: 62     avg.loss: 3.1718 Acc: 0.81%, AUC: 0.8961 (0.8961), PRC: 0.8302, MCC: 0.5646, 62
AUH_HepG2 	 Train Epoch: 63     avg.loss: 0.0344 Acc: 0.99%, AUC: 0.9999, PRC: 0.9998, MCC: 0.9809, lr: 0.000655
AUH_HepG2 	 Test  Epoch: 63     avg.loss: 2.2542 Acc: 0.83%, AUC: 0.8925 (0.8961), PRC: 0.8252, MCC: 0.6132, 62
AUH_HepG2 	 Train Epoch: 64     avg.loss: 0.0248 Acc: 0.99%, AUC: 0.9999, PRC: 0.9998, MCC: 0.9870, lr: 0.000655
AUH_HepG2 	 Test  Epoch: 64     avg.loss: 2.1758 Acc: 0.83%, AUC: 0.8926 (0.8961), PRC: 0.8244, MCC: 0.6028, 62
AUH_HepG2 	 Train Epoch: 65     avg.loss: 0.0265 Acc: 0.99%, AUC: 0.9999, PRC: 0.9999, MCC: 0.9851, lr: 0.000524
AUH_HepG2 	 Test  Epoch: 65     avg.loss: 3.2072 Acc: 0.82%, AUC: 0.8920 (0.8961), PRC: 0.8239, MCC: 0.5745, 62
AUH_HepG2 	 Train Epoch: 66     avg.loss: 0.0165 Acc: 1.00%, AUC: 1.0000, PRC: 1.0000, MCC: 0.9902, lr: 0.000524
AUH_HepG2 	 Test  Epoch: 66     avg.loss: 2.4403 Acc: 0.82%, AUC: 0.8943 (0.8961), PRC: 0.8265, MCC: 0.5818, 62
AUH_HepG2 	 Train Epoch: 67     avg.loss: 0.0216 Acc: 1.00%, AUC: 0.9998, PRC: 0.9998, MCC: 0.9887, lr: 0.000524
AUH_HepG2 	 Test  Epoch: 67     avg.loss: 2.9468 Acc: 0.81%, AUC: 0.8909 (0.8961), PRC: 0.8251, MCC: 0.5609, 62
AUH_HepG2 	 Train Epoch: 68     avg.loss: 0.0143 Acc: 1.00%, AUC: 1.0000, PRC: 0.9999, MCC: 0.9923, lr: 0.000524
AUH_HepG2 	 Test  Epoch: 68     avg.loss: 2.3128 Acc: 0.83%, AUC: 0.8887 (0.8961), PRC: 0.8198, MCC: 0.6017, 62
